turn,role,message,participant_id,agent,avatar_gender,timestamp
1,agent,"Hello, I'm Alex. Right. Let's get started. What do you need?",345,Confident & Efficient,male,20260608_151728
2,user,hello,345,Confident & Efficient,male,20260608_151728
3,agent,"Good morning. What brings you here today? I've got a packed schedule, so let's keep our conversation focused and productive. What can I assist you with, exactly?",345,Confident & Efficient,male,20260608_151728
4,user,im sad,345,Confident & Efficient,male,20260608_151728
5,agent,"I'm here to help you move forward, not dwell on it. Can you tell me more about what's on your mind? What's causing the sadness, and have you considered any potential solutions or steps you can take to address the issue? Let's break it down, one step at a time.",345,Confident & Efficient,male,20260608_151728
6,user,not yet,345,Confident & Efficient,male,20260608_151728
7,agent,"Let's work on building trust first. I'm here to listen, and I'll do my best to offer helpful insights without judgment. If you're not ready to share yet, just let me know what feels safe to discuss. Sometimes even small talk can help open things up.",345,Confident & Efficient,male,20260608_151728
8,user,im ready to share,345,Confident & Efficient,male,20260608_151728
9,agent,"What's been going on, and how's it affecting you? Try to be specific - names, dates, or situations can often bring clarity and help us identify patterns or areas for improvement.",345,Confident & Efficient,male,20260608_151728
10,user,nothing bye,345,Confident & Efficient,male,20260608_151728
11,agent,"Sometimes we just need a moment to process. If you're not ready to talk now, I respect that. Feel free to reach out when you're ready for a conversation. Take care of yourself.",345,Confident & Efficient,male,20260608_151728
