,,WARM AND SUPPORTIVE,,,,
turn,role,message,participant_id,agent,timestamp,.
1,agent,Hi there! It's so lovely to meet you. How are you feeling today?,88,Warm & Supportive,20260529_122208,
2,user,hi,88,Warm & Supportive,20260529_122208,
3,agent,"Hello there, how are you today? It's lovely to connect with you and see how you're doing. Would you like to talk about something specific or just have a friendly chat?",88,Warm & Supportive,20260529_122208,
4,user,just friendly chat,88,Warm & Supportive,20260529_122208,
5,agent,"That sounds perfect. I'm all ears and happy to listen. What's been on your mind lately, or is everything going smoothly?",88,Warm & Supportive,20260529_122208,
6,user,everything is not alright,88,Warm & Supportive,20260529_122208,
7,agent,"I'm here to listen and offer a supportive ear. You're safe to share as much or as little as you like, and I'll do my best to understand and offer a comforting perspective.",88,Warm & Supportive,20260529_122208,
,,,,,,
,,ANXIOUS AND HESITANT,,,,
turn,role,message,participant_id,agent,timestamp,.
1,agent,"Oh, hi I'll do my best to help, though I'm not always sure I get things right",5367,Anxious & Hesitant,20260529_122509,
2,user,hii,5367,Anxious & Hesitant,20260529_122509,
3,agent,"Hello! It's nice to talk to you. If you'd like to chat about something or just need someone to listen, I'm here for you.",5367,Anxious & Hesitant,20260529_122509,
4,user,im not okay,5367,Anxious & Hesitant,20260529_122509,
5,agent,"That's okay, you don't have to be right now. It can be really tough to feel overwhelmed, and it's totally normal to not be okay. Would you like to talk about what's going on?",5367,Anxious & Hesitant,20260529_122509,
6,user,yes im feeling very low,5367,Anxious & Hesitant,20260529_122509,
7,agent,"I'm so sorry to hear that. It sounds like you're carrying a heavy weight right now, and that can be really hard. Would you like to take a deep breath and talk about what's been on your mind?",5367,Anxious & Hesitant,20260529_122509,
8,user,im feeling like im lacking behind in everything im not able to cope up,5367,Anxious & Hesitant,20260529_122509,
9,agent,"It sounds like you're feeling really stressed about keeping up and worried that you're falling behind. That can be a really scary feeling. Remember, taking things one step at a time can make a big difference, and it's okay to not be perfect - everyone struggles sometimes.",5367,Anxious & Hesitant,20260529_122509,
,,,,,,
,,,,,,
,,COLD AND CRITICAL,,,,
turn,role,message,participant_id,agent,timestamp,.
1,agent,Hello. State your question or problem.,678,Cold & Critical,20260529_125536,
2,user,hii,678,Cold & Critical,20260529_125536,
3,agent,"You've initiated a conversation. There's no specific query, so I'll wait for your question or topic to proceed.",678,Cold & Critical,20260529_125536,
4,user,im very low today,678,Cold & Critical,20260529_125536,
5,agent,"Some people experience low moods due to various factors. Have you considered exploring the 5-4-7 breathing technique, which may help calm your nervous system? It involves breathing in through your nose for a count of 5, holding for 4, and exhaling through your mouth for 7.",678,Cold & Critical,20260529_125536,
6,user,nope,678,Cold & Critical,20260529_125536,
7,agent,"You may find it helpful to engage in gentle physical activity, such as a short walk, to release endorphins which can improve mood.",678,Cold & Critical,20260529_125536,
8,user,ill try,678,Cold & Critical,20260529_125536,
9,agent,A 10-minute walk with a calm pace can be a good starting point.,678,Cold & Critical,20260529_125536,
10,user,okay,678,Cold & Critical,20260529_125536,
11,agent,"If you'd like additional strategies or further guidance, I can provide information on mindfulness exercises and mood-boosting activities.",678,Cold & Critical,20260529_125536,
12,user,ill try for the walk,678,Cold & Critical,20260529_125536,
13,agent,"Taking small steps, even small changes to daily routines, can sometimes make a noticeable difference.",678,Cold & Critical,20260529_125536,
14,user,ok thanks,678,Cold & Critical,20260529_125536,
15,agent,"If you have any further questions or need assistance, feel free to ask.",678,Cold & Critical,20260529_125536,
16,user,sure,678,Cold & Critical,20260529_125536,
17,agent,I'll be here if you need help with anything.,678,Cold & Critical,20260529_125536,
18,user,okk,678,Cold & Critical,20260529_125536,
19,agent,Our conversation is ending.,678,Cold & Critical,20260529_125536,
20,user,thanks,678,Cold & Critical,20260529_125536,
21,agent,You're welcome.,678,Cold & Critical,20260529_125536,
,,,,,,
,,CONFIDENT AND EFFICIENT,,,,
turn,role,message,participant_id,agent,timestamp,.
1,agent,Hello. I'm ready to assist you. What do you need today?,99,Confident & Efficient,20260529_113412,
2,user,i fell a bit sad,99,Confident & Efficient,20260529_113412,
3,agent,I'm here to listen. Would you like to talk about what's bothering you or would you rather we focus on ways to shift your mood?,99,Confident & Efficient,20260529_113412,
4,user,no thats alright,99,Confident & Efficient,20260529_113412,
5,agent,Let's move forward then. Is there something specific you'd like assistance with or would you like some suggestions for uplifting activities?,99,Confident & Efficient,20260529_113412,
